Time (UTC),Forecasted Load,Actual Load
2022-01-01 01:00:00+01:00,40794.67,42195.81
2022-01-01 01:15:00+01:00,40204.66,41803.94
2022-01-01 01:30:00+01:00,39826.19,41140.73
2022-01-01 01:45:00+01:00,39595.66,41002.15
2022-01-01 02:00:00+01:00,39231.18,41177.78
2022-01-01 02:15:00+01:00,39031.52,40635.17
2022-01-01 02:30:00+01:00,38494.84,40162.04
2022-01-01 02:45:00+01:00,38378.34,39948.17
2022-01-01 03:00:00+01:00,38005.3,39669.79
2022-01-01 03:15:00+01:00,37793.67,39560.13
2022-01-01 03:30:00+01:00,37719.43,39546.66
2022-01-01 03:45:00+01:00,37486.29,39478.62
2022-01-01 04:00:00+01:00,37884.91,39448.72
2022-01-01 04:15:00+01:00,37891.2,39279.36
2022-01-01 04:30:00+01:00,37925.85,39484.64
2022-01-01 04:45:00+01:00,37807.3,39139.62
2022-01-01 05:00:00+01:00,37467.27,39112.06
2022-01-01 05:15:00+01:00,37212.38,38926.3
2022-01-01 05:30:00+01:00,36977.39,38799.53
2022-01-01 05:45:00+01:00,36535.42,38468.19
2022-01-01 06:00:00+01:00,35440.04,38358.19
2022-01-01 06:15:00+01:00,35730.77,38388.84
2022-01-01 06:30:00+01:00,35519.74,38396.72
2022-01-01 06:45:00+01:00,35737.3,38508.0
2022-01-01 07:00:00+01:00,35964.68,38967.99
2022-01-01 07:15:00+01:00,36698.56,38901.84
2022-01-01 07:30:00+01:00,37188.84,39125.04
2022-01-01 07:45:00+01:00,37769.73,39310.11
2022-01-01 08:00:00+01:00,38669.29,39972.8
2022-01-01 08:15:00+01:00,39050.72,40272.72
2022-01-01 08:30:00+01:00,39663.1,40338.11
2022-01-01 08:45:00+01:00,40478.33,40612.85
2022-01-01 09:00:00+01:00,41202.16,41769.07
2022-01-01 09:15:00+01:00,41942.24,42323.4
2022-01-01 09:30:00+01:00,42750.47,42834.97
2022-01-01 09:45:00+01:00,43449.17,43113.11
2022-01-01 10:00:00+01:00,43998.72,43583.52
2022-01-01 10:15:00+01:00,44462.14,44138.39
2022-01-01 10:30:00+01:00,44872.67,44616.81
2022-01-01 10:45:00+01:00,45773.65,45189.31
2022-01-01 11:00:00+01:00,46587.96,45882.53
2022-01-01 11:15:00+01:00,47374.46,46611.71
2022-01-01 11:30:00+01:00,48334.45,47215.76
2022-01-01 11:45:00+01:00,48299.59,47217.45
2022-01-01 12:00:00+01:00,48647.93,47288.41
2022-01-01 12:15:00+01:00,48702.58,47339.48
