Time (UTC),Solar,Wind Offshore,Wind Onshore
2022-01-01 01:00:00+01:00,0.0,5909.57,25026.96
2022-01-01 01:15:00+01:00,0.0,5864.52,24766.88
2022-01-01 01:30:00+01:00,0.0,5811.29,24498.34
2022-01-01 01:45:00+01:00,0.0,5752.94,24218.72
2022-01-01 02:00:00+01:00,0.0,5690.12,23925.09
2022-01-01 02:15:00+01:00,0.0,5618.29,23633.08
2022-01-01 02:30:00+01:00,0.0,5541.84,23327.98
2022-01-01 02:45:00+01:00,0.0,5468.33,23016.84
2022-01-01 03:00:00+01:00,0.0,5392.42,22712.8
2022-01-01 03:15:00+01:00,0.0,5317.4,22454.03
2022-01-01 03:30:00+01:00,0.0,5243.45,22200.62
2022-01-01 03:45:00+01:00,0.0,5162.48,21947.81
2022-01-01 04:00:00+01:00,0.0,5083.83,21693.28
2022-01-01 04:15:00+01:00,0.0,5007.47,21422.85
2022-01-01 04:30:00+01:00,0.0,4929.34,21152.73
2022-01-01 04:45:00+01:00,0.0,4851.25,20882.33
2022-01-01 05:00:00+01:00,0.0,4738.72,20625.52
2022-01-01 05:15:00+01:00,0.0,4681.54,20337.04
2022-01-01 05:30:00+01:00,0.0,4617.83,20048.48
2022-01-01 05:45:00+01:00,0.0,4559.03,19757.13
2022-01-01 06:00:00+01:00,0.0,4491.76,19722.24
2022-01-01 06:15:00+01:00,0.0,4443.07,19452.45
2022-01-01 06:30:00+01:00,0.0,4390.91,19172.7
2022-01-01 06:45:00+01:00,0.0,4339.38,18891.21
2022-01-01 07:00:00+01:00,0.0,4278.01,18594.05
2022-01-01 07:15:00+01:00,0.0,4207.17,18308.13
2022-01-01 07:30:00+01:00,0.0,4131.93,18023.18
2022-01-01 07:45:00+01:00,0.0,4058.37,17745.76
2022-01-01 08:00:00+01:00,17.13,3988.6,17457.31
2022-01-01 08:15:00+01:00,103.03,3918.55,17133.88
2022-01-01 08:30:00+01:00,439.02,3845.67,16798.24
2022-01-01 08:45:00+01:00,783.42,3773.2,16454.99
2022-01-01 09:00:00+01:00,1223.92,3709.96,16079.96
2022-01-01 09:15:00+01:00,1732.04,3712.21,15680.29
2022-01-01 09:30:00+01:00,2299.65,3713.21,15265.44
2022-01-01 09:45:00+01:00,2871.44,3710.71,14843.36
2022-01-01 10:00:00+01:00,3444.74,3738.41,14443.69
2022-01-01 10:15:00+01:00,4002.53,3831.07,13996.1
2022-01-01 10:30:00+01:00,4541.2,3927.54,13547.6
2022-01-01 10:45:00+01:00,5046.34,4011.04,13107.1
2022-01-01 11:00:00+01:00,5515.68,4077.75,12670.02
2022-01-01 11:15:00+01:00,5947.14,4123.54,12297.05
2022-01-01 11:30:00+01:00,6300.56,4160.74,11924.91
2022-01-01 11:45:00+01:00,6576.51,4206.75,11564.84
2022-01-01 12:00:00+01:00,6796.11,4262.58,11211.97
2022-01-01 12:15:00+01:00,6941.97,4345.44,10806.38
2022-01-01 12:30:00+01:00,6978.69,4432.46,10407.85
2022-01-01 12:45:00+01:00,6923.78,4523.5,10018.69
2022-01-01 13:00:00+01:00,6792.68,4607.28,9652.96
2022-01-01 13:15:00+01:00,6536.19,4713.63,9278.83
2022-01-01 13:30:00+01:00,6236.28,4822.71,8911.13
2022-01-01 13:45:00+01:00,5853.15,4928.92,8550.64
2022-01-01 14:00:00+01:00,5400.11,5024.57,8226.61
2022-01-01 14:15:00+01:00,4891.34,5099.57,8057.94
2022-01-01 14:30:00+01:00,4294.75,5172.4,7892.82
2022-01-01 14:45:00+01:00,3634.94,5243.17,7731.47
2022-01-01 15:00:00+01:00,2944.85,5213.2,7582.2
2022-01-01 15:15:00+01:00,2253.53,5270.19,7617.5
2022-01-01 15:30:00+01:00,1563.57,5315.71,7667.92
2022-01-01 15:45:00+01:00,957.4,5367.96,7727.75
2022-01-01 16:00:00+01:00,455.23,5412.52,7809.57
2022-01-01 16:15:00+01:00,224.23,5454.62,8130.18
2022-01-01 16:30:00+01:00,34.0,5497.89,8448.45
2022-01-01 16:45:00+01:00,10.0,5543.55,8765.09
2022-01-01 17:00:00+01:00,0.0,5585.69,9072.11
2022-01-01 17:15:00+01:00,0.0,5616.96,9467.65
2022-01-01 17:30:00+01:00,0.0,5652.78,9847.45
2022-01-01 17:45:00+01:00,0.0,5683.96,10235.82
2022-01-01 18:00:00+01:00,0.0,5920.97,10608.95
2022-01-01 18:15:00+01:00,0.0,5600.71,10986.23
2022-01-01 18:30:00+01:00,0.0,5630.54,11365.32
2022-01-01 18:45:00+01:00,0.0,5662.72,11740.04
2022-01-01 19:00:00+01:00,0.0,5690.58,12097.88
2022-01-01 19:15:00+01:00,0.0,5715.94,12419.04
2022-01-01 19:30:00+01:00,0.0,5743.56,12738.5
2022-01-01 19:45:00+01:00,0.0,5773.5,13058.51
2022-01-01 20:00:00+01:00,0.0,5806.15,13370.95
2022-01-01 20:15:00+01:00,0.0,5838.54,13660.4
2022-01-01 20:30:00+01:00,0.0,5873.91,13947.51
2022-01-01 20:45:00+01:00,0.0,5907.69,14228.13
2022-01-01 21:00:00+01:00,0.0,5944.85,14516.76
2022-01-01 21:15:00+01:00,0.0,5981.68,14810.9
2022-01-01 21:30:00+01:00,0.0,6017.63,15106.57
2022-01-01 21:45:00+01:00,0.0,6056.63,15409.77
2022-01-01 22:00:00+01:00,0.0,6118.19,15479.36
2022-01-01 22:15:00+01:00,0.0,6137.72,15701.5
2022-01-01 22:30:00+01:00,0.0,6157.22,15932.93
2022-01-01 22:45:00+01:00,0.0,6173.21,16178.81
2022-01-01 23:00:00+01:00,0.0,6184.3,16429.54
2022-01-01 23:15:00+01:00,0.0,6183.35,16683.88
2022-01-01 23:30:00+01:00,0.0,6182.67,16942.53
2022-01-01 23:45:00+01:00,0.0,6177.56,17199.21
2022-01-02 00:00:00+01:00,0.0,6409.25,17309.45
2022-01-02 00:15:00+01:00,0.0,6397.28,17402.3
2022-01-02 00:30:00+01:00,0.0,6384.51,17474.9
2022-01-02 00:45:00+01:00,0.0,6365.84,17561.67
2022-01-02 01:00:00+01:00,0.0,6167.82,17642.48
2022-01-02 01:15:00+01:00,0.0,6150.59,17695.02
2022-01-02 01:30:00+01:00,0.0,6133.97,17737.41
2022-01-02 01:45:00+01:00,0.0,6111.46,17771.81
2022-01-02 02:00:00+01:00,0.0,6091.29,17806.75
2022-01-02 02:15:00+01:00,0.0,6073.21,17862.01
2022-01-02 02:30:00+01:00,0.0,6047.04,17907.86
2022-01-02 02:45:00+01:00,0.0,6022.85,17956.17
2022-01-02 03:00:00+01:00,0.0,5989.49,17995.06
2022-01-02 03:15:00+01:00,0.0,5952.96,18029.98
2022-01-02 03:30:00+01:00,0.0,5914.28,18076.25
2022-01-02 03:45:00+01:00,0.0,5870.88,18118.48
2022-01-02 04:00:00+01:00,0.0,5825.55,18155.09
2022-01-02 04:15:00+01:00,0.0,5783.34,18126.27
2022-01-02 04:30:00+01:00,0.0,5737.87,18100.61
2022-01-02 04:45:00+01:00,0.0,5689.24,18080.14
2022-01-02 05:00:00+01:00,0.0,5640.59,18064.3
2022-01-02 05:15:00+01:00,0.0,5606.86,18093.28
2022-01-02 05:30:00+01:00,0.0,5567.92,18125.41
2022-01-02 05:45:00+01:00,0.0,5519.79,18157.39
2022-01-02 06:00:00+01:00,0.0,5477.6,18442.19
2022-01-02 06:15:00+01:00,0.0,5423.68,18551.84
